seed,function_name,condition,noise,optimizer,dropout,weight_decay,reg_state,model_size,auprc_full,val_loss,first_val_loss,last_val_loss,best_epoch,converged
45,f1,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.2291340199780476,0.21620060503482819,0.26057846891753217,0.22044924805138974,90,True
45,f1,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.08629483382691674,0.2245065355871586,0.2690206011559101,0.22636041901213058,70,True
45,f1,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.16030766699572227,0.21691561157399036,0.2571790681240406,0.22162942620033912,61,True
45,f1,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.08629483382691674,0.22637693552260704,0.2587311626114744,0.22908746419434853,55,True
45,f1,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.11447433366238895,0.8532165225515974,0.9081098069535926,0.8628085363418498,79,True
45,f1,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.06546150049358342,0.8630429582392916,0.9654784836667649,0.8690938695948175,79,True
45,f1,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.1279615004935834,0.8544519213919944,0.9127576097528985,0.8637159327243237,28,True
45,f1,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.12102195271000799,0.8631310393201544,0.967179425219272,0.8722918458441471,50,True
45,f2,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.4176538334978611,0.010108626725033243,0.046851577375956036,0.011865558939926486,91,True
45,f2,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.4186410003290556,0.04536287551943926,0.06633463551468671,0.04850775086657798,91,True
45,f2,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.2936410003290556,0.008523979754325874,0.048728232866430535,0.009497894043538799,79,True
45,f2,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.21030766699572226,0.02936588410050311,0.06562711988040741,0.04376047001557147,72,True
45,f2,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.15673623842429368,0.1927326535607906,0.24156151965577552,0.19311276791577645,54,True
45,f2,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.4186410003290556,0.22983024221785525,0.26069637514809346,0.23327684909739393,74,True
45,f2,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.2936410003290556,0.19072810956772338,0.24001341693578881,0.19304481243833582,69,True
45,f2,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.21030766699572226,0.21358026469007452,0.2606493466077967,0.2339804987324045,82,True
45,f2,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.15673623842429368,0.7330297545549718,0.8079748318550435,0.7407334136201981,83,True
45,f2,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.4186410003290556,0.7579076924222581,0.8201439146031725,0.7602527059139089,81,True
45,f2,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.12376920545726074,0.7306447498341824,0.8053195438486465,0.7358924473853822,54,True
45,f2,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.16447433366238895,0.7580319065996941,0.8199492223719334,0.7722181791954852,81,True
45,f3,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.35197433366238895,0.021598283944532594,0.09400243038668278,0.029042551789353502,74,True
45,f3,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.2529615004935834,0.09778565192159186,0.15710916481119522,0.12115874569466774,71,True
45,f3,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.5691689850130126,0.01608788397440568,0.09340113686754349,0.02048739304449013,93,True
45,f3,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.2529615004935834,0.07851227713709182,0.15282176165504657,0.10720767306679106,56,True
45,f3,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.4186410003290556,0.6337941013118054,0.7853342871716682,0.6494670503951133,91,True
45,f3,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.2529615004935834,0.7018328305888684,0.7814533913389166,0.7216070465585018,47,True
