epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
89.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0021759895607829094,0.7708333333333333,0.5083333333333333,0.8875,0.9962834489593656,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0089.pt
90.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.006893553771078587,0.4583333333333333,0.22697433366238895,0.47500000000000003,0.7433102081268583,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0090.pt
91.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002341398736461997,0.5740740740740741,0.2936410003290556,0.5,0.742814667988107,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0091.pt
92.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004438117612153292,0.5075757575757576,0.22697433366238895,0.4861111111111111,0.7435579781962338,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0092.pt
93.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.003378841560333967,0.46195652173913043,0.2103076669957223,0.4736842105263158,0.7430624380574826,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0093.pt
94.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0023588365875184536,0.455,0.22697433366238895,0.47619047619047616,0.7430624380574826,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0094.pt
95.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0050253355875611305,0.4935897435897436,0.22697433366238895,0.48863636363636365,0.7425668979187314,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0095.pt
96.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002338287653401494,0.46195652173913043,0.2103076669957223,0.4736842105263158,0.7430624380574826,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0096.pt
97.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.00282274023629725,0.4935897435897436,0.22697433366238895,0.48863636363636365,0.7425668979187314,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0097.pt
98.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002543698064982891,0.5208333333333333,0.27286216683119446,0.625,0.8678146679881069,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0098.pt
99.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025469569955021143,0.49666666666666665,0.22697433366238895,0.4880952380952381,0.742814667988107,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0099.pt
100.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0018490711227059364,0.5740740740740741,0.2936410003290556,0.5,0.742814667988107,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0100.pt
1.0,f1,dropout_p0.1,0.0,adam,0.1,False,small,0.018560074269771576,0.25,0.003948667324777887,0.0,0.4930624380574827,True,,snapshots_probe/small/f1/dropout_p0.1/epoch_0001.pt
